family,age,gender,status
Other,23,Male,died
Breen,13,Male,survived
Breen,1,Female,survived
Breen,5,Male,survived
Breen,14,Male,survived
Breen,40,Female,survived
Breen,51,Male,survived
Breen,9,Male,survived
Breen,3,Male,survived
Breen,8,Male,survived
Other,30,Male,died
Other,28,Male,died
Other,40,Male,died
Donner,13,Female,survived
Donner,3,Female,survived
Donner,45,Female,died
Donner,6,Female,survived
Donner,62,Male,died
Donner,9,Male,survived
Donner,4,Female,survived
Donner,5,Male,died
Donner,65,Male,died
Donner,11,Female,survived
Donner,3,Male,died
Donner,7,Female,survived
Donner,4,Male,died
Donner,44,Female,died
Eddy,25,Female,died
Eddy,3,Male,died
Eddy,1,Female,died
Eddy,28,Male,survived
Other,28,Male,died
FosdWolf,23,Male,died
FosdWolf,22,Female,survived
MurFosPik,23,Female,survived
MurFosPik,28,Male,survived
MurFosPik,1,Male,died
Graves,15,Female,survived
Graves,1,Female,survived
Graves,47,Female,died
Graves,57,Male,died
Graves,5,Male,died
Graves,7,Male,survived
Graves,12,Female,survived
Graves,20,Female,survived
Graves,9,Female,survived
Graves,18,Male,survived
Other,25,Male,died
Other,60,Male,died
Other,25,Male,survived
Other,12,Male,died
Other,14,Male,survived
Other,20,Male,survived
Keseberg,3,Female,died
Keseberg,32,Male,survived
Keseberg,1,Male,died
Keseberg,32,Female,survived
Reed,70,Female,died
Other,27,Male,died
McCutchen,24,Female,survived
McCutchen,30,Male,survived
McCutchen,1,Female,died
Other,30,Male,survived
MurFosPik,15,Male,died
MurFosPik,36,Female,died
MurFosPik,12,Male,died
MurFosPik,14,Female,survived
MurFosPik,8,Male,survived
MurFosPik,1,Female,died
MurFosPik,21,Female,survived
MurFosPik,2,Female,survived
MurFosPik,25,Male,died
Reed,46,Male,survived
Reed,6,Male,survived
Reed,32,Female,survived
Reed,9,Female,survived
Reed,4,Male,survived
Reed,13,Female,survived
Other,30,Male,died
Other,23,Male,died
Other,25,Male,died
Other,25,Male,died
Other,25,Male,died
Other,30,Male,died
Other,35,Male,died
Other,23,Male,survived
Other,24,Male,died
Other,25,Female,survived
FosdWolf,20,Female,survived
FosdWolf,24,Male,died
