year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,6,30,940,15.0,1216,-4.0,VX,N626VA,407,JFK,LAX,313.0,2475.0,9.0,40.0
2013,5,7,1657,-3.0,2104,10.0,DL,N3760C,329,JFK,SJU,216.0,1598.0,16.0,57.0
2013,12,8,859,-1.0,1238,11.0,DL,N712TW,422,JFK,LAX,376.0,2475.0,8.0,59.0
2013,5,14,1841,-4.0,2122,-34.0,DL,N914DL,2391,JFK,TPA,135.0,1005.0,18.0,41.0
2013,7,21,1102,-3.0,1230,-8.0,9E,N823AY,3652,LGA,ORF,50.0,296.0,11.0,2.0
2013,1,1,1817,-3.0,2008,3.0,AA,N3AXAA,353,LGA,ORD,138.0,733.0,18.0,17.0
2013,12,9,1259,14.0,1617,22.0,WN,N218WN,1428,EWR,HOU,240.0,1411.0,12.0,59.0
2013,8,13,1920,85.0,2032,71.0,B6,N284JB,1407,JFK,IAD,48.0,228.0,19.0,20.0
2013,9,26,725,-10.0,1027,-8.0,AA,N3FSAA,2279,LGA,MIA,148.0,1096.0,7.0,25.0
2013,4,30,1323,62.0,1549,60.0,EV,N12163,4162,EWR,JAX,110.0,820.0,13.0,23.0
2013,6,17,940,5.0,1050,-4.0,B6,N351JB,20,JFK,ROC,50.0,264.0,9.0,40.0
2013,11,22,1320,5.0,1628,-2.0,B6,N526JB,1639,LGA,RSW,161.0,1080.0,13.0,20.0
2013,4,26,809,-2.0,1030,22.0,EV,N16559,5790,EWR,DAY,87.0,533.0,8.0,9.0
2013,3,25,2054,115.0,2256,91.0,FL,N919AT,645,LGA,ATL,104.0,762.0,20.0,54.0
2013,10,21,1217,-4.0,1322,-6.0,B6,N192JB,34,JFK,BTV,46.0,266.0,12.0,17.0
2013,1,23,2024,37.0,2141,29.0,EV,N17115,4412,EWR,BUF,53.0,282.0,20.0,24.0
2013,2,8,644,-1.0,817,20.0,EV,N14916,4241,EWR,DCA,45.0,199.0,6.0,44.0
2013,8,5,757,-3.0,1041,-23.0,DL,N380DA,1271,JFK,FLL,131.0,1069.0,7.0,57.0
2013,10,21,859,-1.0,1036,11.0,UA,N57852,1030,EWR,ORD,121.0,719.0,8.0,59.0
2013,8,18,1638,8.0,1942,-17.0,VX,N849VA,27,JFK,SFO,334.0,2586.0,16.0,38.0
2013,11,5,1126,11.0,1257,5.0,EV,N600QX,5273,LGA,PIT,58.0,335.0,11.0,26.0
2013,1,15,1626,-3.0,1941,10.0,B6,N594JB,369,LGA,PBI,150.0,1035.0,16.0,26.0
2013,2,1,729,9.0,1018,-5.0,UA,N36247,1724,EWR,PBI,154.0,1023.0,7.0,29.0
2013,7,7,2310,105.0,201,127.0,B6,N506JB,97,JFK,DEN,223.0,1626.0,23.0,10.0
2013,1,17,626,-4.0,846,3.0,US,N554UW,1433,LGA,CLT,105.0,544.0,6.0,26.0
2013,8,16,1251,-4.0,1433,-7.0,MQ,N720MQ,3388,LGA,CMH,83.0,479.0,12.0,51.0
2013,12,7,1154,-6.0,1356,-4.0,US,N122US,725,JFK,CLT,101.0,541.0,11.0,54.0
2013,4,24,2253,123.0,5,101.0,EV,N14562,3852,EWR,BUF,53.0,282.0,22.0,53.0
2013,6,8,1839,-1.0,2120,-12.0,DL,N3751B,1629,JFK,LAS,319.0,2248.0,18.0,39.0
2013,10,8,821,-8.0,1007,-22.0,MQ,N528MQ,3478,LGA,DTW,77.0,502.0,8.0,21.0
2013,11,1,1058,-2.0,1227,-23.0,WN,N266WN,1341,LGA,BNA,124.0,764.0,10.0,58.0
2013,9,18,933,-7.0,1037,-43.0,AA,N514AA,317,LGA,ORD,101.0,733.0,9.0,33.0
2013,7,5,920,5.0,1204,-6.0,AA,N328AA,1,JFK,LAX,302.0,2475.0,9.0,20.0
2013,7,25,752,-3.0,917,2.0,MQ,N6EAMQ,3709,EWR,ORD,103.0,719.0,7.0,52.0
2013,12,24,838,38.0,1104,32.0,UA,N556UA,561,LGA,DEN,237.0,1620.0,8.0,38.0
2013,4,12,840,20.0,1240,28.0,B6,N655JB,403,JFK,SJU,186.0,1598.0,8.0,40.0
2013,5,13,1825,-4.0,2000,-35.0,DL,N919DE,2131,LGA,DTW,77.0,502.0,18.0,25.0
2013,12,18,730,0.0,1038,-2.0,AA,N3KCAA,29,LGA,PBI,140.0,1035.0,7.0,30.0
2013,7,21,2231,121.0,2332,96.0,9E,N8488D,4218,JFK,PHL,25.0,94.0,22.0,31.0
2013,8,22,1108,-7.0,1352,-12.0,UA,N597UA,703,JFK,LAX,292.0,2475.0,11.0,8.0
2013,3,13,1229,89.0,1342,87.0,MQ,N511MQ,3792,JFK,DCA,53.0,213.0,12.0,29.0
2013,10,27,1944,15.0,2112,17.0,EV,N12569,4224,EWR,MKE,117.0,725.0,19.0,44.0
2013,3,21,1850,30.0,2020,25.0,WN,N280WN,962,LGA,BNA,116.0,764.0,18.0,50.0
2013,11,27,1421,-8.0,1709,6.0,B6,N316JB,477,JFK,JAX,148.0,828.0,14.0,21.0
2013,11,4,1822,413.0,2143,434.0,AA,N3GRAA,1139,LGA,DFW,210.0,1389.0,18.0,22.0
2013,1,8,902,-3.0,1006,-17.0,B6,N281JB,56,JFK,BTV,47.0,266.0,9.0,2.0
2013,9,9,1821,8.0,2053,-35.0,UA,N24202,1416,EWR,SNA,307.0,2434.0,18.0,21.0
2013,3,27,1158,-2.0,1455,-16.0,DL,N721TW,863,JFK,LAX,336.0,2475.0,11.0,58.0
2013,3,5,756,-4.0,1011,11.0,B6,N353JB,219,JFK,CLT,86.0,541.0,7.0,56.0
2013,12,26,958,-7.0,1141,-14.0,MQ,N817MQ,3572,LGA,CLE,78.0,419.0,9.0,58.0
2013,12,9,1922,-8.0,2234,-2.0,DL,N989DL,1485,LGA,MCO,149.0,950.0,19.0,22.0
2013,11,8,818,8.0,1114,8.0,UA,N37409,1148,EWR,TPA,149.0,997.0,8.0,18.0
2013,4,24,1539,-2.0,1814,-14.0,UA,N73291,1110,EWR,LAS,316.0,2227.0,15.0,39.0
2013,11,30,807,-8.0,1103,-20.0,B6,N179JB,281,JFK,HOU,214.0,1428.0,8.0,7.0
2013,9,28,750,-5.0,849,-21.0,MQ,N807MQ,3370,JFK,DCA,39.0,213.0,7.0,50.0
2013,7,1,2007,82.0,2123,53.0,AA,N547AA,359,LGA,ORD,112.0,733.0,20.0,7.0
2013,9,29,2003,-2.0,2108,-22.0,MQ,N509MQ,3604,EWR,ORD,103.0,719.0,20.0,3.0
2013,4,15,625,-5.0,752,-13.0,AA,N589AA,303,LGA,ORD,118.0,733.0,6.0,25.0
2013,7,21,1012,-8.0,1149,-17.0,US,N122US,1501,EWR,CLT,79.0,529.0,10.0,12.0
2013,10,30,1042,24.0,1219,4.0,EV,N11127,4297,EWR,DTW,80.0,488.0,10.0,42.0
2013,2,6,1637,-3.0,1851,1.0,MQ,N725MQ,4540,LGA,DTW,92.0,502.0,16.0,37.0
2013,8,11,2055,11.0,50,8.0,UA,N76514,1071,EWR,BQN,196.0,1585.0,20.0,55.0
2013,6,20,2020,13.0,2257,-2.0,B6,N598JB,1505,JFK,ABQ,232.0,1826.0,20.0,20.0
2013,5,26,1417,-8.0,1529,-21.0,B6,N184JB,8,JFK,BUF,56.0,301.0,14.0,17.0
2013,9,8,1818,4.0,1958,2.0,UA,N33266,1053,EWR,CLE,65.0,404.0,18.0,18.0
2013,10,2,2243,-7.0,2359,-8.0,B6,N183JB,2002,JFK,BUF,58.0,301.0,22.0,43.0
2013,7,26,1433,4.0,1753,54.0,MQ,N527MQ,3669,LGA,ATL,115.0,762.0,14.0,33.0
2013,5,25,1610,-5.0,1827,-13.0,MQ,N525MQ,4657,LGA,ATL,102.0,762.0,16.0,10.0
2013,12,6,2052,-8.0,2238,32.0,US,N957UW,2164,LGA,BOS,40.0,184.0,20.0,52.0
2013,8,7,850,-5.0,1122,-34.0,UA,N39726,1058,LGA,IAH,177.0,1416.0,8.0,50.0
2013,3,25,1329,-1.0,1615,-25.0,AA,N3JYAA,753,LGA,DFW,206.0,1389.0,13.0,29.0
2013,7,10,1153,-7.0,1303,-6.0,US,N955UW,2126,LGA,BOS,32.0,184.0,11.0,53.0
2013,11,24,553,-7.0,734,-9.0,EV,N14923,5824,EWR,CLE,75.0,404.0,5.0,53.0
